"age","totals","ï..HometownHealthEPOBronzeD9100","HometownHealthEPOBronzeHDHP","HometownHealthEPOBronze","HometownHealthEPOSilverHDHP","HometownHealthEPOSilver","HometownHealthEPOGold","HometownHealthEPOGoldX"
"0 - 14",0,209.49,225.19,250.49,239.77,268.88,307.67,326.23
"15",0,228.11,245.21,272.75,261.08,292.78,335.02,355.23
"16",0,235.23,252.86,281.26,269.23,301.92,345.47,366.31
"17",0,242.35,260.52,289.78,277.38,311.06,355.93,377.4
"18",0,250.01,268.76,298.94,286.16,320.9,367.19,389.34
"19",0,257.68,277,308.11,294.93,330.74,378.45,401.28
"20",0,265.62,285.54,317.61,304.02,340.93,390.11,413.65
"21",0,273.84,294.37,327.43,313.43,351.48,402.18,426.44
"22",0,273.84,294.37,327.43,313.43,351.48,402.18,426.44
"23",0,273.84,294.37,327.43,313.43,351.48,402.18,426.44
"24",0,273.84,294.37,327.43,313.43,351.48,402.18,426.44
"25",0,274.93,295.55,328.74,314.68,352.88,403.79,428.15
"26",0,280.41,301.43,335.29,320.95,359.91,411.83,436.68
"27",0,286.98,308.5,343.15,328.47,368.35,421.48,446.91
"28",0,297.66,319.98,355.92,340.69,382.06,437.17,463.54
"29",0,306.42,329.4,366.39,350.72,393.3,450.04,477.19
"30",0,310.81,334.11,371.63,355.74,398.93,456.47,484.01
"31",0,317.38,341.17,379.49,363.26,407.36,466.12,494.24
"32",0,323.95,348.24,387.35,370.78,415.8,475.78,504.48
"33",0,328.06,352.65,392.26,375.48,421.07,481.81,510.88
"34",0,332.44,357.36,397.5,380.5,426.69,488.24,517.7
"35",0,334.63,359.72,400.12,383.01,429.5,491.46,521.11
"36",0,336.82,362.07,402.74,385.51,432.32,494.68,524.52
"37",0,339.01,364.43,405.36,388.02,435.13,497.9,527.93
"38",0,341.2,366.78,407.98,390.53,437.94,501.11,531.34
"39",0,345.58,371.49,413.22,395.54,443.56,507.55,538.17
"40",0,349.96,376.2,418.45,400.56,449.19,513.98,544.99
"41",0,356.54,383.27,426.31,408.08,457.62,523.63,555.22
"42",0,362.83,390.04,433.84,415.29,465.71,532.88,565.03
"43",0,371.6,399.46,444.32,425.32,476.95,545.75,578.68
"44",0,382.55,411.23,457.42,437.85,491.01,561.84,595.74
"45",0,395.42,425.07,472.81,452.58,507.53,580.74,615.78
"46",0,410.75,441.55,491.14,470.14,527.21,603.27,639.66
"47",0,428.01,460.1,511.77,489.88,549.36,628.6,666.52
"48",0,447.72,481.29,535.35,512.45,574.66,657.56,697.23
"49",0,467.16,502.19,558.59,534.7,599.62,686.11,727.51
"50",0,489.07,525.74,584.79,559.77,627.74,718.29,761.62
"51",0,510.7,548.99,610.65,584.53,655.5,750.06,795.31
"52",0,534.53,574.6,639.14,611.8,686.08,785.05,832.41
"53",0,558.62,600.51,667.95,639.38,717.01,820.44,869.93
"54",0,584.64,628.47,699.06,669.16,750.4,858.65,910.45
"55",0,610.65,656.44,730.16,698.93,783.79,896.85,950.96
"56",0,638.86,686.76,763.89,731.22,819.99,938.28,994.88
"57",0,667.34,717.37,797.94,763.81,856.54,980.1,1039.23
"58",0,697.73,750.04,834.28,798.6,895.56,1024.74,1086.56
"59",0,712.79,766.23,852.29,815.84,914.89,1046.86,1110.02
"60",0,743.19,798.91,888.64,850.63,953.9,1091.5,1157.35
"61",0,769.48,827.17,920.07,880.72,987.64,1130.11,1198.29
"62",0,786.73,845.71,940.7,900.46,1009.79,1155.45,1225.16
"63",0,808.36,868.97,966.56,925.22,1037.55,1187.22,1258.84
"64",0,821.49,883.09,982.27,940.26,1054.41,1206.52,1279.3
"65+",0,821.49,883.09,982.27,940.26,1054.41,1206.52,1279.3
