"age","totals","ï..HometownRenownBronzeD9100HMO","HometownRenownBronzeHDHPHMO","HometownRenownHMOBronze","HometownHealthRenownHMOSilverHDHP","HometownHealthRenownHMOSilver","HometownHealthRenownHMOGold","HometownHealthRenownHMOGoldX"
"0 - 14",0,195.34,209.81,234.27,223.5,251.95,289.71,307.87
"15",0,212.71,228.46,255.1,243.36,274.34,315.46,335.24
"16",0,219.35,235.59,263.06,250.96,282.91,325.31,345.7
"17",0,225.99,242.72,271.02,258.55,291.47,335.16,356.16
"18",0,233.14,250.4,279.6,266.73,300.69,345.76,367.43
"19",0,240.29,258.08,288.17,274.92,309.91,356.36,378.7
"20",0,247.69,266.03,297.05,283.39,319.46,367.35,390.37
"21",0,255.35,274.26,306.24,292.15,329.34,378.71,402.44
"22",0,255.35,274.26,306.24,292.15,329.34,378.71,402.44
"23",0,255.35,274.26,306.24,292.15,329.34,378.71,402.44
"24",0,255.35,274.26,306.24,292.15,329.34,378.71,402.44
"25",0,256.37,275.36,307.46,293.32,330.66,380.22,404.05
"26",0,261.48,280.84,313.59,299.16,337.25,387.8,412.1
"27",0,267.61,287.43,320.94,306.17,345.15,396.89,421.76
"28",0,277.57,298.12,332.88,317.57,357.99,411.66,437.45
"29",0,285.74,306.9,342.68,326.92,368.53,423.77,450.33
"30",0,289.82,311.29,347.58,331.59,373.8,429.83,456.77
"31",0,295.95,317.87,354.93,338.6,381.71,438.92,466.43
"32",0,302.08,324.45,362.28,345.61,389.61,448.01,476.09
"33",0,305.91,328.57,366.87,350,394.55,453.69,482.13
"34",0,310,332.95,371.77,354.67,399.82,459.75,488.56
"35",0,312.04,335.15,374.22,357.01,402.45,462.78,491.78
"36",0,314.08,337.34,376.67,359.35,405.09,465.81,495
"37",0,316.12,339.54,379.12,361.68,407.72,468.84,498.22
"38",0,318.17,341.73,381.57,364.02,410.36,471.87,501.44
"39",0,322.25,346.12,386.47,368.69,415.63,477.93,507.88
"40",0,326.34,350.51,391.37,373.37,420.9,483.99,514.32
"41",0,332.47,357.09,398.72,380.38,428.8,493.08,523.98
"42",0,338.34,363.4,405.77,387.1,436.38,501.79,533.23
"43",0,346.51,372.17,415.57,396.45,446.91,513.91,546.11
"44",0,356.72,383.14,427.81,408.13,460.09,529.05,562.21
"45",0,368.72,396.03,442.21,421.86,475.57,546.85,581.12
"46",0,383.02,411.39,459.36,438.23,494.01,568.06,603.66
"47",0,399.11,428.67,478.65,456.63,514.76,591.92,629.01
"48",0,417.5,448.42,500.7,477.66,538.47,619.18,657.99
"49",0,435.63,467.89,522.44,498.41,561.85,646.07,686.56
"50",0,456.05,489.83,546.94,521.78,588.2,676.37,718.76
"51",0,476.23,511.49,571.13,544.86,614.22,706.29,750.55
"52",0,498.44,535.36,597.77,570.28,642.87,739.23,785.56
"53",0,520.91,559.49,624.72,595.98,671.85,772.56,820.98
"54",0,545.17,585.54,653.82,623.74,703.14,808.54,859.21
"55",0,569.43,611.6,682.91,651.49,734.43,844.51,897.44
"56",0,595.73,639.85,714.45,681.58,768.35,883.52,938.89
"57",0,622.28,668.37,746.3,711.97,802.6,922.9,980.75
"58",0,650.63,698.81,780.29,744.39,839.15,964.94,1025.42
"59",0,664.67,713.9,797.13,760.46,857.27,985.77,1047.55
"60",0,693.01,744.34,831.13,792.89,893.82,1027.81,1092.22
"61",0,717.53,770.67,860.52,820.94,925.44,1064.16,1130.85
"62",0,733.61,787.95,879.82,839.34,946.19,1088.02,1156.21
"63",0,753.79,809.61,904.01,862.42,972.21,1117.94,1188
"64",0,766.03,822.77,918.7,876.44,988,1136.1,1207.31
"65+",0,766.03,822.77,918.7,876.44,988,1136.1,1207.31
