"age","totals","ï..SHLEPOSilver35370030","SHLEPOSilver35200030","SHLEPOGold20125020"
"0 - 14",0,291.45,318.48,409.21
"15",0,317.35,346.79,445.59
"16",0,327.26,357.61,459.5
"17",0,337.16,368.44,473.4
"18",0,347.83,380.1,488.38
"19",0,358.5,391.75,503.36
"20",0,369.55,403.83,518.87
"21",0,380.98,416.32,534.92
"22",0,380.98,416.32,534.92
"23",0,380.98,416.32,534.92
"24",0,380.98,416.32,534.92
"25",0,382.5,417.98,537.06
"26",0,390.12,426.31,547.76
"27",0,399.26,436.3,560.6
"28",0,414.12,452.53,581.46
"29",0,426.31,465.86,598.57
"30",0,432.41,472.52,607.13
"31",0,441.55,482.51,619.97
"32",0,450.7,492.5,632.81
"33",0,456.41,498.75,640.83
"34",0,462.51,505.41,649.39
"35",0,465.55,508.74,653.67
"36",0,468.6,512.07,657.95
"37",0,471.65,515.4,662.23
"38",0,474.7,518.73,666.51
"39",0,480.79,525.39,675.07
"40",0,486.89,532.05,683.63
"41",0,496.03,542.04,696.46
"42",0,504.79,551.62,708.77
"43",0,516.99,564.94,725.89
"44",0,532.22,581.59,747.28
"45",0,550.13,601.16,772.42
"46",0,571.46,624.47,802.38
"47",0,595.47,650.7,836.08
"48",0,622.9,680.68,874.59
"49",0,649.95,710.23,912.57
"50",0,680.42,743.54,955.37
"51",0,710.52,776.43,997.62
"52",0,743.67,812.65,1044.16
"53",0,777.19,849.28,1091.24
"54",0,813.38,888.83,1142.05
"55",0,849.58,928.38,1192.87
"56",0,888.82,971.26,1247.97
"57",0,928.44,1014.56,1303.6
"58",0,970.73,1060.77,1362.97
"59",0,991.68,1083.67,1392.39
"60",0,1033.97,1129.88,1451.77
"61",0,1070.54,1169.85,1503.12
"62",0,1094.55,1196.07,1536.82
"63",0,1124.64,1228.96,1579.08
"64",0,1142.89,1248.9,1604.7
"65+",0,1142.89,1248.9,1604.7
