"age","totals","ï..BronzeGuidedAccessHMO870008700733N","LinkBronzeGuidedAccessHMO60007000wHSA7338","BronzeGuidedAccessHMO690007000wHSA7326","BronzeGuidedAccessHMO690007000wHSAWH7322","LinkSilverGuidedAccessHMO40005000wHSA731X","SilverGuidedAccessHMO4500106000wHSA732H","SilverGuidedAccessHMO40005082507325","LinkSilverGuidedAccessHMO50008700732K","SilverGuidedAccessHMO5000508550732E","SilverGuidedAccessHMO60003091007328","LinkSilverGuidedAccessHMO35009100732U","SilverGuidedAccessHMO4000508250WH732T","LinkSilverGuidedAccessHMO5091007336","LinkGoldGuidedAccessHMO30003500wHSA731Z","GoldGuidedAccessHMO3000103500wHSA733B","GoldGuidedAccessHMO1250305000732W","GoldGuidedAccessHMO2500206000732L","LinkGoldGuidedAccessHMO25005000732F","GoldGuidedAccessHMO500207500732R","GoldGuidedAccessHMO20002050007335","GoldGuidedAccessHMO2500206000WH7329","LinkGoldGuidedAccessHMO257000733R"
"0 - 14",0,216.09,231.06,233.85,248.18,241.4,241.76,246.73,250.69,251.28,252.45,259.52,260.44,262.04,274.43,287.78,293.03,294.12,296.1,303.95,303.98,307.61,311.49
"15",0,235.3,251.6,254.64,270.24,262.85,263.24,268.66,272.97,273.62,274.89,282.59,283.59,285.33,298.82,313.36,319.08,320.26,322.42,330.97,331,334.95,339.18
"16",0,242.64,259.45,262.59,278.68,271.06,271.46,277.04,281.49,282.16,283.47,291.41,292.44,294.23,308.15,323.14,329.04,330.26,332.48,341.3,341.33,345.4,349.77
"17",0,249.99,267.31,270.54,287.11,279.26,279.68,285.43,290.01,290.7,292.05,300.23,301.29,303.14,317.48,332.92,339,340.26,342.55,351.63,351.66,355.86,360.35
"18",0,257.9,275.76,279.09,296.2,288.1,288.53,294.46,299.19,299.89,301.29,309.73,310.82,312.73,327.52,343.45,349.72,351.02,353.39,362.75,362.79,367.12,371.76
"19",0,265.8,284.22,287.65,305.28,296.93,297.37,303.49,308.37,309.09,310.53,319.22,320.35,322.32,337.56,353.99,360.45,361.79,364.22,373.88,373.92,378.38,383.16
"20",0,274,292.98,296.52,314.69,306.08,306.54,312.84,317.87,318.62,320.1,329.06,330.23,332.25,347.97,364.89,371.56,372.94,375.45,385.4,385.44,390.04,394.96
"21",0,282.47,302.04,305.69,324.42,315.55,316.02,322.52,327.7,328.47,330,339.24,340.44,342.53,358.73,376.18,383.05,384.47,387.06,397.32,397.36,402.1,407.18
"22",0,282.47,302.04,305.69,324.42,315.55,316.02,322.52,327.7,328.47,330,339.24,340.44,342.53,358.73,376.18,383.05,384.47,387.06,397.32,397.36,402.1,407.18
"23",0,282.47,302.04,305.69,324.42,315.55,316.02,322.52,327.7,328.47,330,339.24,340.44,342.53,358.73,376.18,383.05,384.47,387.06,397.32,397.36,402.1,407.18
"24",0,282.47,302.04,305.69,324.42,315.55,316.02,322.52,327.7,328.47,330,339.24,340.44,342.53,358.73,376.18,383.05,384.47,387.06,397.32,397.36,402.1,407.18
"25",0,283.6,303.25,306.91,325.72,316.81,317.28,323.81,329.01,329.78,331.32,340.6,341.8,343.9,360.16,377.68,384.58,386.01,388.61,398.91,398.95,403.71,408.81
"26",0,289.25,309.29,313.03,332.21,323.12,323.6,330.26,335.56,336.35,337.92,347.38,348.61,350.75,367.34,385.21,392.24,393.7,396.35,406.86,406.9,411.75,416.95
"27",0,296.03,316.54,320.36,339.99,330.7,331.19,338,343.43,344.24,345.84,355.52,356.78,358.97,375.95,394.24,401.44,402.92,405.64,416.39,416.43,421.4,426.72
"28",0,307.04,328.32,332.29,352.64,343,343.51,350.58,356.21,357.05,358.71,368.75,370.06,372.33,389.94,408.91,416.38,417.92,420.73,431.89,431.93,437.08,442.6
"29",0,316.08,337.98,342.07,363.03,353.1,353.63,360.9,366.7,367.56,369.27,379.61,380.95,383.29,401.42,420.95,428.63,430.22,433.12,444.6,444.65,449.95,455.63
"30",0,320.6,342.82,346.96,368.22,358.15,358.68,366.06,371.94,372.81,374.55,385.04,386.4,388.77,407.16,426.96,434.76,436.37,439.31,450.96,451,456.38,462.15
"31",0,327.38,350.06,354.29,376,365.72,366.27,373.8,379.8,380.7,382.47,393.18,394.57,396.99,415.77,435.99,443.95,445.6,448.6,460.49,460.54,466.03,471.92
"32",0,334.16,357.31,361.63,383.79,373.3,373.85,381.54,387.67,388.58,390.39,401.32,402.74,405.21,424.38,445.02,453.15,454.83,457.89,470.03,470.08,475.68,481.69
"33",0,338.4,361.84,366.22,388.66,378.03,378.59,386.38,392.58,393.51,395.34,406.41,407.85,410.35,429.76,450.66,458.89,460.6,463.7,475.99,476.04,481.72,487.8
"34",0,342.92,366.68,371.11,393.85,383.08,383.65,391.54,397.83,398.76,400.62,411.84,413.29,415.83,435.5,456.68,465.02,466.75,469.89,482.35,482.4,488.15,494.32
"35",0,345.18,369.09,373.55,396.44,385.6,386.18,394.12,400.45,401.39,403.26,414.55,416.02,418.57,438.37,459.69,468.09,469.82,472.99,485.53,485.57,491.37,497.57
"36",0,347.44,371.51,376,399.04,388.13,388.7,396.7,403.07,404.02,405.9,417.27,418.74,421.31,441.24,462.7,471.15,472.9,476.08,488.7,488.75,494.58,500.83
"37",0,349.7,373.93,378.44,401.63,390.65,391.23,399.28,405.69,406.65,408.54,419.98,421.46,424.05,444.11,465.71,474.22,475.97,479.18,491.88,491.93,497.8,504.09
"38",0,351.96,376.34,380.89,404.23,393.18,393.76,401.86,408.31,409.27,411.18,422.69,424.19,426.79,446.98,468.72,477.28,479.05,482.28,495.06,495.11,501.02,507.35
"39",0,356.48,381.17,385.78,409.42,398.22,398.82,407.02,413.56,414.53,416.46,428.12,429.64,432.27,452.72,474.74,483.41,485.2,488.47,501.42,501.47,507.45,513.86
"40",0,361,386.01,390.67,414.61,403.27,403.87,412.18,418.8,419.78,421.74,433.55,435.08,437.75,458.46,480.76,489.54,491.35,494.66,507.77,507.83,513.88,520.38
"41",0,367.78,393.26,398.01,422.39,410.85,411.46,419.92,426.67,427.67,429.66,441.69,443.25,445.97,467.07,489.79,498.73,500.58,503.95,517.31,517.36,523.53,530.15
"42",0,374.27,400.2,405.04,429.86,418.1,418.73,427.34,434.2,435.22,437.25,449.49,451.08,453.85,475.32,498.44,507.54,509.42,512.85,526.45,526.5,532.78,539.51
"43",0,383.31,409.87,414.82,440.24,428.2,428.84,437.66,444.69,445.73,447.81,460.35,461.98,464.81,486.8,510.48,519.8,521.73,525.24,539.16,539.22,545.65,552.54
"44",0,394.61,421.95,427.05,453.21,440.82,441.48,450.56,457.8,458.87,461.01,473.92,475.59,478.51,501.15,525.52,535.12,537.1,540.72,555.06,555.11,561.73,568.83
"45",0,407.89,436.15,441.42,468.46,455.65,456.33,465.72,473.2,474.31,476.52,489.86,491.6,494.61,518.01,543.2,553.12,555.17,558.91,573.73,573.79,580.63,587.97
"46",0,423.71,453.06,458.54,486.63,473.33,474.03,483.78,491.55,492.71,495,508.86,510.66,513.8,538.1,564.27,574.58,576.71,580.59,595.98,596.04,603.15,610.77
"47",0,441.5,472.09,477.79,507.07,493.2,493.94,504.1,512.2,513.4,515.79,530.23,532.11,535.37,560.69,587.97,598.71,600.93,604.97,621.01,621.07,628.48,636.42
"48",0,461.84,493.84,499.8,530.43,515.92,516.69,527.32,535.79,537.05,539.55,554.66,556.62,560.04,586.52,615.05,626.29,628.61,632.84,649.62,649.68,657.43,665.74
"49",0,481.89,515.28,521.51,553.46,538.33,539.13,550.22,559.06,560.37,562.98,578.74,580.79,584.36,611.99,641.76,653.48,655.91,660.32,677.83,677.9,685.98,694.65
"50",0,504.49,539.44,545.96,579.41,563.57,564.41,576.02,585.27,586.65,589.38,605.88,608.03,611.76,640.69,671.86,684.13,686.66,691.29,709.61,709.68,718.15,727.22
"51",0,526.81,563.3,570.11,605.04,588.5,589.38,601.5,611.16,612.6,615.45,632.68,634.92,638.82,669.03,701.58,714.39,717.04,721.87,741,741.08,749.92,759.39
"52",0,551.38,589.58,596.71,633.27,615.95,616.87,629.56,639.67,641.17,644.16,662.2,664.54,668.62,700.24,734.3,747.71,750.49,755.54,775.57,775.65,784.9,794.82
"53",0,576.24,616.16,623.61,661.82,643.72,644.68,657.94,668.51,670.08,673.2,692.05,694.5,698.76,731.81,767.41,781.42,784.32,789.6,810.53,810.61,820.28,830.65
"54",0,603.07,644.86,652.65,692.64,673.7,674.7,688.58,699.64,701.28,704.55,724.28,726.84,731.3,765.89,803.14,817.81,820.84,826.37,848.28,848.36,858.48,869.33
"55",0,629.91,673.55,681.69,723.46,703.68,704.72,719.22,730.77,732.49,735.9,756.51,759.18,763.84,799.97,838.88,854.2,857.37,863.14,886.02,886.11,896.68,908.01
"56",0,659,704.66,713.17,756.87,736.18,737.27,752.44,764.52,766.32,769.89,791.45,794.25,799.12,836.92,877.63,893.66,896.97,903.01,926.95,927.04,938.1,949.95
"57",0,688.38,736.07,744.97,790.61,769,770.14,785.98,798.6,800.48,804.21,826.73,829.65,834.75,874.23,916.75,933.49,936.95,943.27,968.27,968.37,979.92,992.3
"58",0,719.73,769.6,778.9,826.62,804.02,805.22,821.78,834.98,836.94,840.84,864.38,867.44,872.77,914.04,958.51,976.01,979.63,986.23,1012.37,1012.47,1024.55,1037.49
"59",0,735.27,786.21,795.71,844.47,821.38,822.6,839.52,853,855.01,858.99,883.04,886.17,891.61,933.77,979.2,997.08,1000.78,1007.52,1034.22,1034.33,1046.67,1059.89
"60",0,766.62,819.74,829.64,880.48,856.4,857.68,875.32,889.38,891.47,895.62,920.7,923.95,929.63,973.59,1020.95,1039.6,1043.45,1050.48,1078.33,1078.44,1091.3,1105.09
"61",0,793.74,848.73,858.99,911.62,886.7,888.02,906.28,920.84,923,927.3,953.26,956.64,962.51,1008.03,1057.07,1076.37,1080.36,1087.64,1116.47,1116.58,1129.9,1144.18
"62",0,811.54,867.76,878.25,932.06,906.58,907.93,926.6,941.48,943.69,948.09,974.64,978.08,984.09,1030.63,1080.77,1100.5,1104.58,1112.02,1141.5,1141.62,1155.23,1169.83
"63",0,833.85,891.62,902.4,957.69,931.5,932.89,952.08,967.37,969.64,974.16,1001.44,1004.98,1011.15,1058.97,1110.48,1130.76,1134.96,1142.6,1172.89,1173.01,1187,1202
"64",0,847.41,906.12,917.07,973.26,946.65,948.06,967.56,983.1,985.41,990,1017.72,1021.32,1027.59,1076.19,1128.54,1149.15,1153.41,1161.18,1191.96,1192.08,1206.3,1221.54
"65+",0,847.41,906.12,917.07,973.26,946.65,948.06,967.56,983.1,985.41,990,1017.72,1021.32,1027.59,1076.19,1128.54,1149.15,1153.41,1161.18,1191.96,1192.08,1206.3,1221.54
